chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label,name
0.416260019,0.178728893,3706.408764,2946.093212,7250.826367,0.186899623,-76.31993748,26.94153136,21.97139146,37.57230955,6.663151972,20.24311193,-6.320955542,12.37472609,-0.687868873,7.129621187,-3.781779469,6.446169502,-4.231592403,4.070365377,-3.309253835,3.238800329,-3.081258085,-0.139819994,-5.019948407,3.421022824,prog,03-Don'tBelieveTheHype.mp3
0.44498406,0.327897787,2485.342048,2443.708426,5115.512792,0.116820096,18.52159267,82.26609929,-17.43998663,32.18781879,10.4391287,10.27903943,-0.968875484,11.17146652,-1.35734289,9.150392357,0.004527571,9.793803761,-1.364821468,4.873184248,-2.597950532,2.377437898,-5.423417279,1.437775231,-2.475408634,0.613409579,prog,04-SomebodyToldMe.mp3
0.31645532,0.10910517,2522.458646,2091.849327,4791.040104,0.158382147,-131.6901824,70.63404481,-37.21059408,44.49643193,-12.64238333,8.374693898,-10.88777011,7.043601825,-9.71936018,-1.070039432,-9.87540119,-1.309802977,-7.058087138,-7.323328921,-0.888396796,-0.26380124,-4.072936817,5.372349824,-2.603531528,-4.304013634,prog,05-Vivaldi.mp3
0.385514893,0.24084422,2885.586347,2534.985059,5721.716103,0.160693385,-6.606394793,67.47157934,-15.07621109,27.63005367,-6.957545607,5.749133856,-6.998040275,-1.245546541,-4.732688032,2.605742984,-1.620246324,4.952366627,-4.902640606,1.67633868,1.122005194,1.131487447,-4.165983802,4.751933161,-3.1711302,1.01486731,prog,03.RagDoll.mp3
0.430496765,0.221663877,2614.347639,2381.863426,5159.852703,0.139806972,-0.916537587,76.58004439,-22.29802839,39.76404883,-0.041446909,5.597526716,-3.662671187,7.224111796,0.308023327,3.068605226,-2.964518191,-0.963462955,-8.858037798,-2.48680966,-4.843844783,0.509415911,-10.16466334,-0.794074576,-5.196383582,-2.744090274,prog,01_AcesHigh.mp3
0.329212506,0.097170852,2169.580724,2280.531776,4465.463895,0.101784101,-172.8259657,91.3699343,-5.993054732,34.42944746,1.063960139,6.576924979,-5.183587909,-2.639479537,-4.495567409,-0.619150861,-2.888471116,3.152947342,-7.990679611,-6.611557911,-8.744226686,-5.549557985,-8.0826538,0.581613225,0.2192491,1.661466048,prog,"01-TheBryden2-Step(ForAmphibians),Pt.1.mp3"
0.31078663,0.080895878,1319.478533,1675.639045,2547.581226,0.067293013,-251.1653016,133.6296017,4.182512377,23.74779588,-0.402676322,13.22178963,0.026851894,7.962590588,-1.093959016,3.402883138,-0.070061245,3.565018871,1.620156226,2.683318296,-0.819005129,0.794385914,-1.5019377,-1.630053198,-3.838054583,-1.74386235,prog,MIKEOLDFIELD-PartOne(TubularBellsI).mp3
0.380712646,0.186942741,2178.37963,2301.599031,4472.437695,0.112296503,-66.09727896,96.29714872,-15.26248353,28.85724682,-0.755679595,7.189229839,8.520980262,2.944554382,0.508249984,7.771390609,-8.05556481,4.239928493,-4.718466701,5.39551606,-1.604344209,3.926556375,-1.903234726,-0.316852698,-4.826553868,-0.088930905,prog,06-JanelleMonae-ColdWar.mp3
0.338799911,0.216413856,2082.238617,2229.426518,4407.411188,0.096788199,-80.50134442,99.94965181,-6.09915843,18.6498212,1.915672765,5.468240867,-2.526358207,1.192091158,-2.869541215,4.759154792,-4.028614647,-1.590029724,-6.784321914,-5.82148017,-7.903615959,-0.685856969,-5.871653033,-1.138247988,-6.244122681,-0.298626576,prog,Kansas-08MagnumOpusa)FatherPadillaMeetsThePerfectGnatb)HowlingAtTheMoonc)ManOverboardd)IndustryOnParadee)ReleaseTheBe.mp3
0.378179497,0.164056793,2157.564791,2308.702366,4493.326966,0.103242824,-67.30944602,100.5985104,-8.667516605,36.17181625,5.486885803,6.888851846,2.201667616,1.232990231,-5.863634662,4.316443166,-7.410791734,1.059421298,-4.506419796,3.793381086,-1.244087297,2.128505546,-3.071484979,0.181551857,-4.32624177,-0.41130383,prog,01-blueprint_320_lame_cbr.mp3
0.330420959,0.114378199,1600.882381,1859.439062,3292.041547,0.074244219,-168.1152129,120.75451,-17.29723079,40.5395034,7.01166656,0.904693769,0.18673466,5.075894028,3.398837565,1.688530655,-10.44811205,0.132477601,-10.26025714,-4.879858655,-5.829379737,-4.458671883,-11.21972524,-5.075757378,-2.492571629,0.722562958,prog,06TheTempleoftheKing.mp3
0.412943374,0.304436237,2023.453617,2266.114874,4435.866143,0.081049085,-31.74267077,101.5853866,-7.215989174,36.33164084,7.02315344,11.79004746,0.704425119,10.80902303,0.47647074,11.07644883,0.893966918,8.290639047,1.913924445,4.682473868,-2.51537408,5.388364454,-2.408081049,-0.080909601,-2.425041537,1.23247501,prog,08-KingdomOfDreams.mp3
0.423876638,0.244581863,2651.106414,2270.331624,5079.876462,0.158169185,-0.826470281,76.5284694,-33.01669065,32.59912348,-6.135113964,10.50450204,-2.635269511,5.432718793,-5.556545482,2.417451182,-2.930386387,2.889134572,-7.74205024,-1.917925734,-6.383731925,0.167366081,-5.842927335,2.631052984,-2.031653064,0.82937401,prog,04Operation-Mindcrime.mp3
0.477088918,0.065026961,1701.187358,2041.523728,3544.712068,0.06881966,-210.8208798,121.6360496,-10.73638072,16.20146883,2.623196055,9.655838084,-2.917696373,6.252620178,-3.508910333,2.221496807,-1.097270381,2.887231995,-4.799686513,-2.76524787,-7.873639431,-2.151454756,-4.807550823,-0.661077763,-6.574808058,-3.366533611,prog,19-Tusk.mp3
0.412195847,0.303765446,2702.114108,2581.643011,5624.025513,0.132461503,23.79455513,76.70034751,-12.13441563,20.76892164,-3.31559324,11.64044582,-0.398567237,8.474389429,-5.520607712,-1.046240943,-6.512982603,-3.152599826,-0.50096296,4.287439218,-2.325578528,1.343740254,-4.540227674,0.788504458,0.395693353,2.444313969,prog,06-CruelSummer.mp3
0.356895505,0.268277705,2508.206712,2502.544028,5302.701345,0.125432819,2.342170322,86.20541188,-14.04391374,15.14060211,0.203743508,9.655901737,-5.643323556,4.235811037,-8.236372656,5.306796453,-5.844179313,-1.927448974,-7.923904681,-1.524481642,-5.935724939,-0.031718512,-7.450944479,-0.919363994,-5.351450469,0.999162208,prog,07-HeadOverHeelsBroken.mp3
0.322792165,0.243336782,1526.52231,2008.991977,3286.461833,0.062603409,-95.39037462,124.6915267,4.669257625,31.5861922,1.760995249,11.61507048,-1.126521801,3.053618646,-2.501314709,9.220006182,1.340060328,1.048524465,-9.835147102,-5.590852523,-5.747242058,-3.075001958,-1.669798213,1.251131129,2.030367962,2.885063548,prog,03SpaceSong.mp3
0.437617923,0.086401351,2001.844878,2322.005856,4541.772248,0.076838727,-163.3994359,103.8358046,0.977216831,32.25100598,-3.547722852,15.06446105,-2.29735395,10.34389778,-5.249138998,8.5151184,-5.455104632,5.307115921,-1.173929419,3.050790778,-2.82718752,3.454997237,-1.740139911,4.806956716,-1.663648701,5.246384196,nonprog,1993_Snap_Rhythm_Is_A_Dancer.mp3
0.307867984,0.281222969,2429.530835,2459.478697,5149.639513,0.115294923,-35.44693358,81.14222484,-1.253800413,15.93099796,-11.4810637,6.601949327,3.522463215,5.231582061,-5.764253636,4.401425645,-4.038501663,2.842110133,-2.508738014,-0.887871308,-7.421611932,-1.651388543,-7.783666356,2.41914111,-3.474938116,-1.585685232,nonprog,C-Pop_Hits_1.mp3
0.278522222,0.021442441,2753.120236,2422.920018,5457.643395,0.14422229,-303.2910309,65.85558323,-18.11625242,19.15060782,-8.701272361,5.96774086,-4.388390513,4.070173933,-4.805020722,3.755408632,-10.40471211,-0.409104223,-10.16835899,1.840259692,-7.657098081,0.796892767,-0.49189388,5.563383467,2.479919759,1.053133409,nonprog,ChinnaChinnaAasai-ROJA.mp3
0.321934565,0.168571442,1992.554214,2478.437952,4506.874712,0.071557805,-156.6398374,93.19912453,30.12922667,25.09271929,12.77597419,12.75091089,-0.802710279,11.00864412,-0.234581544,6.293486823,-0.801157018,-0.954706061,-0.800377855,2.574987783,-4.920852674,0.524960253,-6.952368335,-2.089106558,-6.184592143,-1.535575982,nonprog,Khalil_Fong_Love_in_this_world.mp3
0.264851942,0.167170763,1806.403874,1914.525961,3432.469163,0.090493017,-121.194087,108.1846911,-23.40281777,27.33068676,-1.737777008,-0.345465573,-5.0808564,0.835613423,-13.31856663,-3.868052479,-11.66366964,-7.877363348,-4.736768153,-6.460470967,-10.47478479,-0.734940383,-11.82285729,-7.228640667,-5.406589436,-4.871807722,nonprog,1951_Tony_Bennett_Because_Of_You.mp3
0.247859402,0.099126853,2311.260691,2672.162269,5306.007359,0.083015108,-206.0476414,84.82674355,30.49271678,11.9158964,-10.00747765,2.576622674,-2.767458457,4.463787886,-0.458938546,-3.835546779,-8.395110016,2.155161405,-5.134260839,1.634472797,-1.721332766,4.24019975,-0.258292376,2.82716283,-2.097270555,0.263122942,nonprog,1943_Duke_Ellington_In_A_Sentimental.mp3
0.361526195,0.081135646,917.9069782,1338.149037,1711.797464,0.03094375,-280.9017045,142.0511103,13.53358864,29.64886369,6.65346765,11.40599516,7.694542636,10.47740547,6.582901314,9.13742044,5.87775389,4.188477839,-1.933392006,-1.119642239,-1.942103109,-2.18176748,-2.954466417,0.069088368,-5.55081096,-2.565772249,nonprog,01-Light-LookAtYourSun.mp3
0.385484085,0.087099299,2032.597476,2133.989663,4498.53174,0.088177139,-158.3602141,98.73667999,-12.73689973,30.5690076,-11.20111882,23.1898692,-14.53744143,17.40732236,-11.18352537,12.66065585,-8.191302112,10.21393609,-5.662698493,7.939789483,-5.769569797,2.542102013,-3.548260488,0.185205039,-4.295674859,-0.025057415,nonprog,1955_Bill_Haley_And_His_Comets_Rock_Around_The_Clock.mp3
0.273185072,0.085201301,1149.363013,1514.173021,2026.166033,0.055007529,-257.2792445,164.111592,-7.625245781,9.670524088,16.18588161,-11.57744208,-5.118600144,0.420129002,-11.12594805,-4.117193373,-1.518670819,-5.807874112,-4.96117429,-1.863023771,-4.571346887,-2.33681034,-3.629031745,-1.04919358,-1.937008961,-1.393840976,nonprog,1950_Nat_King_Cole_Mona_Lisa.mp3
